old_url,cluster,priority,disposition,notes
/,homepage,critical,preserve-path,Primary ranking page for "Mobile Pet Grooming Long Island"
/about-us/,about,high,preserve-path,
/our-team/,about,high,preserve-path,Index page for 18 team bios
/faqs/,about,high,preserve-path,
/were-hiring/,about,medium,preserve-path,
/blog/,blog,high,preserve-path,Blog index
/contactus/,contact,high,preserve-path,Contact page (separate from /contact/)
/contact/,contact,high,preserve-path,Book Now page
/privacy-policy/,legal,low,preserve-path,
/terms/,legal,low,preserve-path,
/mobile-grooming/,grooming,critical,preserve-path,Highest SEO priority cluster
/grooming-pricing/,grooming,critical,preserve-path,
/mobile-grooming-packages/,grooming,critical,preserve-path,
/grooming-packages/,grooming,high,preserve-path,Possibly duplicate of mobile-grooming-packages — verify
/services-pricing/,grooming,medium,preserve-path,
/pet-grooming-hamptons/,grooming-geo,critical,preserve-path,Geo-targeted Hamptons landing page
/cat-experience/,grooming,high,preserve-path,
/our-vans/,grooming,high,preserve-path,
/in-house-grooming/,grooming,high,preserve-path,
/spa-services/,grooming,medium,preserve-path,
/mobile-pet-spa-services-nassau-county-ny/,grooming-geo,high,preserve-path,
/mobile-pet-spa-services-suffolk-county/,grooming-geo,high,preserve-path,
/mobile-pet-spa-services-franklin-square-ny/,grooming-geo,high,preserve-path,
/mobile-grooming-suffolk-county/,grooming-geo,high,preserve-path,
/grooming-suffolk-county/,grooming-geo,high,preserve-path,
/grooming-franklin-square-ny/,grooming-geo,high,preserve-path,
/mobile-dog-grooming-glen-cove-ny/,grooming-geo,high,preserve-path,Town landing page
/mobile-dog-grooming-massapequa-ny/,grooming-geo,high,preserve-path,Town landing page
/mobile-dog-grooming-jericho-ny/,grooming-geo,high,preserve-path,Town landing page
/mobile-dog-grooming-syosset-ny/,grooming-geo,high,preserve-path,Town landing page
/mobile-dog-grooming-westbury-ny/,grooming-geo,high,preserve-path,Town landing page
/mobile-dog-grooming-roslyn-ny/,grooming-geo,high,preserve-path,Town landing page
/mobile-dog-grooming-port-washington-ny/,grooming-geo,high,preserve-path,Town landing page
/mobile-dog-grooming-new-hyde-park-ny/,grooming-geo,high,preserve-path,Town landing page
/mobile-dog-grooming-manhasset-ny/,grooming-geo,high,preserve-path,Town landing page
